product_author,product_imagelink,product_name,product_price
"Tara Bennett, and ,Robert Rodriguez",https://m.media-amazon.com/images/I/91W-FLAS23L._AC_UY218_.jpg,The Art of Avatar The Way of Water,"45,.,00"
NC Scout,https://m.media-amazon.com/images/I/61kz20U3ZOL._AC_UY218_.jpg,The Guerrilla's Guide To The Baofeng Radio,"22,.,49"
Gege Akutami,https://m.media-amazon.com/images/I/81InOZKyKSL._AC_UY218_.jpg,"Jujutsu Kaisen, Vol. 18 (18)","6,.,49"
Brenda Bennett,https://m.media-amazon.com/images/I/91nrnr+QlML._AC_UY218_.jpg,"The 30-Day Sugar Elimination Diet: A Whole-Food Detox to Conquer Cravings & Reclaim Health, Customizable for Keto or Low-Carb","28,.,99,9,.,99"
"Mo Xiang Tong Xiu,, ,Marina Privalova,, et al.",https://m.media-amazon.com/images/I/81zpiHqhQhL._AC_UY218_.jpg,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,"17,.,99,9,.,99"
Jessa Hastings,https://m.media-amazon.com/images/I/71HHNFA83nL._AC_UY218_.jpg,Daisy Haites: The Great Undoing (Magnolia Parks Universe),"18,.,90"
Aaron Huh,https://m.media-amazon.com/images/I/814sQOak5tL._AC_UY218_.jpg,Simply Korean: Easy Recipes for Korean Favorites That Anyone Can Make,"23,.,99,12,.,99"
Erin Hunter,https://m.media-amazon.com/images/I/81d61RIqBFL._AC_UY218_.jpg,Warriors: The Broken Code 6-Book Box Set,"34,.,99"
Jane Smiley,https://m.media-amazon.com/images/I/91XUhQ-LOyL._AC_UY218_.jpg,A Dangerous Business: A novel,"14,.,99,22,.,99,0,.,00"
John Boyne,https://m.media-amazon.com/images/I/91ufGHoA9kL._AC_UY218_.jpg,All the Broken Places: A Novel,"14,.,99,23,.,84,0,.,00"
Olivie Blake,https://m.media-amazon.com/images/I/71FnE0Wj3xL._AC_UY218_.jpg,Alone with You in the Ether: A Love Story,"18,.,08,0,.,00,9,.,99"
Giuseppe Dell'Anno,https://m.media-amazon.com/images/I/81mptbMt42L._AC_UY218_.jpg,"Giuseppe's Italian Bakes: Over 60 Classic Cakes, Desserts and Savory Bakes","26,.,99,9,.,99"
Buddy Levy,https://m.media-amazon.com/images/I/81vUAQpvhZL._AC_UY218_.jpg,Empire of Ice and Stone: The Disastrous and Heroic Voyage of the Karluk,"25,.,15,0,.,00,14,.,99"
"Michael Flynn, and ,Boone Cutler",https://m.media-amazon.com/images/I/71LfthaFrRL._AC_UY218_.jpg,The Citizen's Guide to Fifth Generation Warfare,"26,.,99"
Scarlett St. Clair,https://m.media-amazon.com/images/I/81MmlIlVPlL._AC_UY218_.jpg,Queen of Myth and Monsters (Adrian X Isolde Book 2),"5,.,24,13,.,88,0,.,00"
ChrisFix,https://m.media-amazon.com/images/I/61p1z4Xl+DL._AC_UY218_.jpg,How to Change a Flat Tire,"9,.,99"
"Joshua Izzo,, ,Zachary Berger,, et al.",https://m.media-amazon.com/images/I/91mlqy5fPOL._AC_UY218_.jpg,Avatar The Way of Water The Visual Dictionary,"27,.,00"
